,KPI Name,Scenario 1 Value,Scenario 2 Value,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14
54,Ship Type KPIs.D.avg_total_time,41:12,49:59,51:04,42:03,43:51,44:28,43:57,32:47,31:26,31:25,28:43,31:40,30:28,31:59
55,Ship Type KPIs.D.avg_waiting_time,0:00,0:00,8:32,3:42,6:46,4:31,2:39,3:09,3:33,3:05,2:30,3:47,0:50,3:48
56,Ship Type KPIs.D.max_Port Operation,31:58,64:06,54:30,41:55,59:03,62:10,57:01,47:01,48:27,55:29,47:45,57:10,61:25,48:15
57,Ship Type KPIs.D.max_berth_waiting_time,0:00,0:00,35:25,24:25,62:03,34:27,23:25,39:10,110:27,81:44,56:15,72:15,0:00,53:40
58,Ship Type KPIs.D.max_mc_waiting_time,0:00,0:00,54:00,51:00,6:00,60:00,3:00,0:00,25:30,52:30,66:00,55:30,40:30,60:00
59,Ship Type KPIs.D.max_total_time,45:17,69:20,85:14,88:46,103:25,103:10,63:33,65:07,131:41,115:53,99:13,111:10,71:17,97:37
60,Ship Type KPIs.D.max_waiting_time,0:00,0:00,54:00,51:00,62:03,60:00,23:25,39:10,110:27,81:44,66:00,72:15,40:30,60:00
61,Ship Type KPIs.E.avg_Port Operation,,,,,,,47:47,,,,,,28:31,
62,Ship Type KPIs.E.avg_berth_waiting_time,,,,,,,0:44,,,,,,0:31,
63,Ship Type KPIs.E.avg_mc_waiting_time,,,,,,,0:57,,,,,,1:06,
64,Ship Type KPIs.E.avg_total_time,,,,,,,56:02,,,,,,37:55,
65,Ship Type KPIs.E.avg_waiting_time,,,,,,,1:41,,,,,,1:37,
66,Ship Type KPIs.E.max_Port Operation,,,,,,,84:10,,,,,,62:51,
67,Ship Type KPIs.E.max_berth_waiting_time,,,,,,,39:39,,,,,,46:19,
68,Ship Type KPIs.E.max_mc_waiting_time,,,,,,,40:29,,,,,,52:30,
69,Ship Type KPIs.E.max_total_time,,,,,,,97:40,,,,,,117:09,
70,Ship Type KPIs.E.max_waiting_time,,,,,,,40:29,,,,,,52:30,
71,Total Ships by Type.A,16,14,,,,,,,,,,,,
72,Total Ships by Type.B,32,30,93,92,85,86,,84,88,86,91,69,,68
73,Total Ships by Type.C,9,8,123,115,114,115,,115,360,414,390,358,,375
74,Total Ships by Type.D,3,5,19,24,28,26,21,27,301,263,282,311,90,295
75,Total Ships by Type.E,,,,,,,82,,,,,,319,
